channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red1,1,screen,2,lite,2048,128,0.25,4,5,10,4,5,20,4,2428,8,0.4,48560,35,0.0007207578253706755,0,0.20522777249999996,728.4
red1,1,screen,2,adaptive_lite,2048,128,0.25,4,5,10,4,5,20,4,2428,8,0.4,48560,35,0.0007207578253706755,0,0.2999537214,728.4
red1,1,screen,2,standard,2048,0,0.5,8,8,3,0,5,20,2,3106,0,0.0,62120,18941,0.3049098518995493,0,0.057264099199999995,0.0
red1,1,screen,2,lite,2048,0,0.5,8,8,3,0,5,20,2,3106,0,0.0,62120,4241,0.06827108821635544,0,0.11690657980000001,0.0
red1,1,screen,2,adaptive_lite,2048,0,0.5,8,8,3,0,5,20,2,3106,0,0.0,62120,4241,0.06827108821635544,0,0.11754872795,0.0
red1,1,screen,1,standard,512,128,0.5,5,10,10,0,5,20,8,2921,4,0.2,58420,7185,0.12298870249914413,0,0.0805013421,608.5416666666667
red1,1,screen,1,lite,512,128,0.5,5,10,10,0,5,20,8,2921,0,0.0,58420,15741,0.26944539541252993,0,0.13686986985,0.0
red1,1,screen,1,adaptive_lite,512,128,0.5,5,10,10,0,5,20,8,2921,4,0.2,58420,8626,0.14765491270112974,0,0.1688023047,608.5416666666667
red1,1,screen,1,standard,512,16,0.5,8,3,10,0,5,20,10,2917,3,0.15,58340,6620,0.11347274597188893,0,0.10461022519999999,448.00341296928326
red1,1,screen,1,lite,512,16,0.5,8,3,10,0,5,20,10,2917,0,0.0,58340,18820,0.3225917038052794,0,0.1674316778,0.0
red1,1,screen,1,adaptive_lite,512,16,0.5,8,3,10,0,5,20,10,2917,0,0.0,58340,16830,0.28848131642098046,0,0.2074461936,0.0
red1,1,screen,1,standard,2048,64,0.25,3,10,10,0,5,20,2,1208,1,0.05,24160,5929,0.24540562913907285,0,0.06962800729999999,69.6923076923077
red1,1,screen,1,lite,2048,64,0.25,3,10,10,0,5,20,2,1208,19,0.95,24160,1,4.139072847682119e-5,0,0.0891597449,1324.1538461538462
