channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red4,2,0.0,cwz_joint,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,73048,0.4167979002624672,0,0.35986527500000004,0.0
red4,2,0.0,lite,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,71071,0.4055175168321351,0,0.10835997,0.0
red4,2,0.0,ofdm_fec,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,71125,0.40582563049184067,0,0.08252425999999999,0.0
red4,2,0.0,pfft,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,71001,0.40511811023622046,0,0.07377885333333332,0.0
red4,2,0.0,profiled_cz,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,73399,0.4188006390505535,0,0.4003445283333332,0.0
red4,2,2.0,cwz_joint,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,68319,0.38981513180417665,0,0.37137022833333333,0.0
red4,2,2.0,lite,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,65790,0.375385142074632,0,0.10323309166666668,0.0
red4,2,2.0,ofdm_fec,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,65561,0.3740785119251398,0,0.08355742,0.0
red4,2,2.0,pfft,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,65757,0.37519685039370076,0,0.09372026500000001,0.0
red4,2,2.0,profiled_cz,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,68711,0.39205180874129864,0,0.3865404566666665,0.0
red4,2,4.0,cwz_joint,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,62537,0.3568241469816273,0,0.36469071166666667,0.0
red4,2,4.0,lite,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,59624,0.34020312678306514,0,0.10377340333333332,0.0
red4,2,4.0,ofdm_fec,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,59247,0.33805203697363917,0,0.07759295333333333,0.0
red4,2,4.0,pfft,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,59505,0.33952413557001027,0,0.07189125333333334,0.0
red4,2,4.0,profiled_cz,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,63033,0.3596542280041082,0,0.39015680833333327,0.0
red4,2,6.0,cwz_joint,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,55899,0.3189489900718932,0,0.34536502333333324,0.0
red4,2,6.0,lite,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,52472,0.29939518429761497,0,0.12343297666666664,0.0
red4,2,6.0,ofdm_fec,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,52304,0.2984366084674198,0,0.08420828500000001,0.0
red4,2,6.0,pfft,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,52455,0.29929818555289284,0,0.08856404666666665,0.0
red4,2,6.0,profiled_cz,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,56398,0.32179618851991326,0,0.410186655,0.0
red4,2,8.0,cwz_joint,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,48373,0.2760070752025562,0,0.3510238066666666,0.0
red4,2,8.0,lite,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,45036,0.25696679219445395,0,0.11397756833333335,0.0
red4,2,8.0,ofdm_fec,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,44840,0.25584845372589293,0,0.08583521833333334,0.0
red4,2,8.0,pfft,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,45095,0.25730343489672486,0,0.08461188166666668,0.0
red4,2,8.0,profiled_cz,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,49113,0.28022937350222527,0,0.38722743166666673,0.0
red4,2,10.0,cwz_joint,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,39486,0.225299554946936,0,0.351723425,0.0
red4,2,10.0,lite,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,37033,0.21130320666438435,0,0.11889025333333332,0.0
red4,2,10.0,ofdm_fec,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,36944,0.21079538970672143,0,0.08814231166666668,0.0
red4,2,10.0,pfft,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,37344,0.21307771311194795,0,0.08939484833333335,0.0
red4,2,10.0,profiled_cz,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,40717,0.2323234052265206,0,0.39105582666666666,0.0
red4,2,12.0,cwz_joint,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,29864,0.17039826543421202,0,0.3443864583333333,0.0
red4,2,12.0,lite,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,28691,0.16370535204838527,0,0.11550466833333332,0.0
red4,2,12.0,ofdm_fec,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,27897,0.15917494008901062,0,0.076463045,0.0
red4,2,12.0,pfft,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,29016,0.1655597398151318,0,0.07312171500000002,0.0
red4,2,12.0,profiled_cz,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,30793,0.1756989615428506,0,0.4144684783333333,0.0
red4,2,14.0,cwz_joint,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,18627,0.106282095172886,0,0.3146566666666668,0.0
red4,2,14.0,lite,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,18974,0.10826201072692,0,0.11209854999999998,0.0
red4,2,14.0,ofdm_fec,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,1,0.016666666666666666,175260,18396,0.10496405340636768,0,0.09138882666666669,53.69485294117647
red4,2,14.0,pfft,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,19251,0.10984251968503937,0,0.07528004666666667,0.0
red4,2,14.0,profiled_cz,4,60,configuration,1024,128,0.5,5,10,6,0,1,16,2921,0,0.0,175260,19319,0.11023051466392787,0,0.3911213416666666,0.0
