workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,bit_errors,success,decode_failure,selected_source,selection_reason,standard_crc_valid,rescue_executed,rescue_is_gradient,rescue_crc_valid,gradient_checkpoints,selected_iteration,optimized_variables,partial_fft_parts,partial_fft_bands
blue4:lane1:snr2.0:seed4:frame21,2.0,21,profiled_cz,awgn,0.0,47.0,1439,29.45024,30.779187200000003,1.2918784,708,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame22,2.0,22,profiled_cz,awgn,0.0,47.0,1511,30.9248,32.2537472,1.2918784,587,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame23,2.0,23,profiled_cz,awgn,0.0,47.0,1583,32.39936,33.7283072,1.2918784,632,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame24,2.0,24,profiled_cz,awgn,0.0,47.0,1655,33.87392,35.2028672,1.2918784,618,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame25,2.0,25,profiled_cz,awgn,0.0,47.0,1727,35.34848,36.677427200000004,1.2918784,669,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame26,2.0,26,profiled_cz,awgn,0.0,47.0,1799,36.82304,38.1519872,1.2918784,701,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame27,2.0,27,profiled_cz,awgn,0.0,47.0,1870,38.27712,39.6060672,1.2918784,639,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame28,2.0,28,profiled_cz,awgn,0.0,47.0,1942,39.75168,41.0806272,1.2918784,655,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame29,2.0,29,profiled_cz,awgn,0.0,47.0,2014,41.22624,42.5551872,1.2918784,668,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
blue4:lane1:snr2.0:seed4:frame30,2.0,30,profiled_cz,awgn,0.0,47.0,2086,42.7008,44.0297472,1.2918784,740,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
