workload_id,snr_db,frame,algorithm_id,noise_model,capture_start_seconds,capture_stop_seconds,snapshot_index,snapshot_seconds,replay_support_end_seconds,frame_duration_seconds,bit_errors,success,decode_failure,selected_source,selection_reason,standard_crc_valid,rescue_executed,rescue_is_gradient,rescue_crc_valid,gradient_checkpoints,selected_iteration,optimized_variables,partial_fft_parts,partial_fft_bands
red3:lane3:snr0.0:seed4:frame26,0.0,26,cwz_joint,alpha-stable-impulsive,0.0,47.0,3561,37.083333333333336,38.0921875,0.9666666666666667,690,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red3:lane3:snr0.0:seed4:frame27,0.0,27,cwz_joint,alpha-stable-impulsive,0.0,47.0,3704,38.572916666666664,39.58177083333333,0.9666666666666667,687,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red3:lane3:snr0.0:seed4:frame28,0.0,28,cwz_joint,alpha-stable-impulsive,0.0,47.0,3846,40.052083333333336,41.0609375,0.9666666666666667,766,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red3:lane3:snr0.0:seed4:frame29,0.0,29,cwz_joint,alpha-stable-impulsive,0.0,47.0,3989,41.541666666666664,42.55052083333333,0.9666666666666667,681,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red3:lane3:snr0.0:seed4:frame30,0.0,30,cwz_joint,alpha-stable-impulsive,0.0,47.0,4131,43.020833333333336,44.0296875,0.9666666666666667,741,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red3:lane3:snr0.0:seed4:frame31,0.0,31,cwz_joint,alpha-stable-impulsive,0.0,47.0,4274,44.510416666666664,45.51927083333333,0.9666666666666667,691,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red3:lane3:snr0.0:seed4:frame32,0.0,32,cwz_joint,alpha-stable-impulsive,0.0,47.0,4416,45.989583333333336,46.9984375,0.9666666666666667,715,false,false,standard,standard_fallback,false,true,true,false,8,0,C+W+z,4,16
red3:lane3:snr0.0:seed4:frame1,0.0,1,profiled_cz,alpha-stable-impulsive,0.0,47.0,1,0.0,1.0088541666666666,0.9666666666666667,761,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame2,0.0,2,profiled_cz,alpha-stable-impulsive,0.0,47.0,143,1.4791666666666667,2.4880208333333336,0.9666666666666667,672,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame3,0.0,3,profiled_cz,alpha-stable-impulsive,0.0,47.0,286,2.96875,3.9776041666666666,0.9666666666666667,676,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame4,0.0,4,profiled_cz,alpha-stable-impulsive,0.0,47.0,428,4.447916666666667,5.456770833333334,0.9666666666666667,721,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame5,0.0,5,profiled_cz,alpha-stable-impulsive,0.0,47.0,571,5.9375,6.946354166666667,0.9666666666666667,713,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame6,0.0,6,profiled_cz,alpha-stable-impulsive,0.0,47.0,713,7.416666666666667,8.425520833333334,0.9666666666666667,705,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame7,0.0,7,profiled_cz,alpha-stable-impulsive,0.0,47.0,856,8.90625,9.915104166666666,0.9666666666666667,800,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame8,0.0,8,profiled_cz,alpha-stable-impulsive,0.0,47.0,998,10.385416666666666,11.394270833333334,0.9666666666666667,703,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame9,0.0,9,profiled_cz,alpha-stable-impulsive,0.0,47.0,1140,11.864583333333334,12.873437500000001,0.9666666666666667,765,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame10,0.0,10,profiled_cz,alpha-stable-impulsive,0.0,47.0,1283,13.354166666666666,14.363020833333334,0.9666666666666667,719,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame11,0.0,11,profiled_cz,alpha-stable-impulsive,0.0,47.0,1425,14.833333333333334,15.842187500000001,0.9666666666666667,757,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame12,0.0,12,profiled_cz,alpha-stable-impulsive,0.0,47.0,1568,16.322916666666668,17.331770833333334,0.9666666666666667,751,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame13,0.0,13,profiled_cz,alpha-stable-impulsive,0.0,47.0,1710,17.802083333333332,18.810937499999998,0.9666666666666667,773,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
red3:lane3:snr0.0:seed4:frame14,0.0,14,profiled_cz,alpha-stable-impulsive,0.0,47.0,1852,19.28125,20.290104166666666,0.9666666666666667,704,false,false,standard,standard_fallback,false,true,true,false,8,0,C+z,4,16
