channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red4,3,0.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14156,0.31499777481085894,0,0.27806505000000004,0.0
red4,3,0.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14503,0.3227191811303961,0,0.08917572666666665,0.0
red4,3,0.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14432,0.3211392968402314,0,0.06631223,0.0
red4,3,0.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14502,0.3226969292389853,0,0.062472240000000005,0.0
red4,3,0.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,14184,0.3156208277703605,0,0.32308537500000006,0.0
red4,3,2.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,10812,0.24058744993324432,0,0.2654486766666666,0.0
red4,3,2.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,11001,0.24479305740987983,0,0.09583357999999999,0.0
red4,3,2.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,11122,0.247485536270583,0,0.07695674333333334,0.0
red4,3,2.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,11074,0.24641744548286604,0,0.07426448666666666,0.0
red4,3,2.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,10811,0.24056519804183354,0,0.28892775666666665,0.0
red4,3,4.0,cwz_joint,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,6882,0.15313751668891856,0,0.25928129499999997,0.0
red4,3,4.0,lite,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,7033,0.1564975522919448,0,0.09527874833333334,0.0
red4,3,4.0,ofdm_fec,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,6899,0.15351579884290165,0,0.07240828000000002,0.0
red4,3,4.0,pfft,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,7055,0.15698709390298177,0,0.06888319333333334,0.0
red4,3,4.0,profiled_cz,4,60,configuration,1024,16,0.125,3,10,10,0,1,16,749,0,0.0,44940,6878,0.15304850912327547,0,0.3408733399999999,0.0
