channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red3,2,0.0,cwz_joint,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,38379,0.44053030303030305,0,0.3069415933333334,0.0
red3,2,0.0,lite,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,37302,0.428168044077135,0,0.1012265166666667,0.0
red3,2,0.0,ofdm_fec,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,37388,0.42915518824609733,0,0.09042409166666666,0.0
red3,2,0.0,pfft,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,37183,0.4268021120293848,0,0.07319694166666668,0.0
red3,2,0.0,profiled_cz,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,39271,0.4507690541781451,0,0.35058303500000004,0.0
red3,2,2.0,cwz_joint,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,36029,0.41355601469237835,0,0.3059220266666666,0.0
red3,2,2.0,lite,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,35204,0.40408631772268133,0,0.10476652999999998,0.0
red3,2,2.0,ofdm_fec,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,34946,0.4011248852157943,0,0.09832025666666667,0.0
red3,2,2.0,pfft,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,35317,0.4053833792470156,0,0.07983231666666667,0.0
red3,2,2.0,profiled_cz,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,37167,0.4266184573002755,0,0.34633975999999994,0.0
red3,2,4.0,cwz_joint,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,33293,0.3821510560146924,0,0.319290005,0.0
red3,2,4.0,lite,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,32413,0.3720500459136823,0,0.09422634333333331,0.0
red3,2,4.0,ofdm_fec,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,32677,0.3750803489439853,0,0.08053674333333334,0.0
red3,2,4.0,pfft,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,32729,0.37567722681359045,0,0.07509308499999999,0.0
red3,2,4.0,profiled_cz,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,34756,0.39894398530762165,0,0.36660194999999995,0.0
red3,2,6.0,cwz_joint,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,29385,0.33729338842975204,0,0.33636765999999996,0.0
red3,2,6.0,lite,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,29242,0.33565197428833793,0,0.09814247,0.0
red3,2,6.0,ofdm_fec,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,29523,0.33887741046831954,0,0.06724907833333331,0.0
red3,2,6.0,pfft,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,29556,0.33925619834710746,0,0.06511615833333334,0.0
red3,2,6.0,profiled_cz,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,31486,0.3614095500459137,0,0.38368827833333335,0.0
red3,2,8.0,cwz_joint,4,60,configuration,1024,128,0.25,5,10,12,0,1,16,1452,0,0.0,87120,23126,0.2654499540863177,0,0.30838874,0.0
