channel,lane,phase,start_index,algorithm_id,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,seed,frames,frame_blocks,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red4,1,screen,1,pfft,2048,16,0.25,3,4,10,0,5,20,2,1004,14,0.7,20080,6,0.000298804780876494,0,0.06713342785,820.3891050583658
red4,1,screen,3,pfft,2048,16,0.0625,5,8,8,0,5,20,2,341,15,0.75,6820,6,0.0008797653958944282,0,0.054474207,298.5408560311284
red4,1,screen,1,pfft,2048,64,0.25,8,8,10,2,5,20,2,1545,10,0.5,30900,18,0.0005825242718446602,0,0.09136874175000001,891.3461538461539
red4,1,screen,3,pfft,2048,0,0.5,3,3,8,1,5,20,1,890,10,0.5,17800,1534,0.08617977528089887,0,0.057454446699999995,695.3125
red4,1,screen,3,pfft,2048,16,0.5,5,10,8,0,5,20,2,2921,5,0.25,58420,4992,0.08545018829168093,0,0.07443623565,852.431906614786
red4,1,screen,2,pfft,512,0,0.5,8,8,3,0,5,20,10,3834,0,0.0,76680,24004,0.3130412102243088,0,0.08360264079999999,0.0
red4,1,screen,2,pfft,2048,32,0.125,3,8,10,4,5,20,4,1174,12,0.6,23480,8,0.00034071550255536625,0,0.1186060721,544.639175257732
red4,1,screen,1,pfft,2048,0,0.25,5,8,2,2,5,20,2,1412,0,0.0,28240,1126,0.039872521246458924,0,0.07058726565,0.0
red4,1,screen,3,pfft,2048,0,0.5,5,8,8,0,5,20,2,2840,7,0.35,56800,3987,0.07019366197183098,0,0.07223157499999999,1164.84375
red4,1,screen,3,pfft,2048,0,0.5,10,10,8,1,5,20,1,1640,1,0.05,32800,4614,0.14067073170731706,0,0.0417854062,128.125
red4,1,screen,3,pfft,2048,0,0.5,3,5,8,1,5,20,1,1072,9,0.45,21440,2006,0.0935634328358209,0,0.053727177800000005,753.75
red4,1,screen,1,pfft,1024,32,0.25,8,8,10,2,5,20,2,761,4,0.2,15220,118,0.007752956636005256,0,0.07266882575,235.36082474226805
red4,1,screen,2,pfft,512,128,0.25,3,8,10,4,5,20,4,572,8,0.4,11440,25,0.0021853146853146855,0,0.0479759099,330.0
red4,1,screen,3,pfft,512,0,0.125,3,3,8,1,5,20,1,40,18,0.9,800,2,0.0025,0,0.022549688599999996,75.0
red4,1,screen,1,pfft,2048,16,0.25,8,8,10,1,5,20,1,764,11,0.55,15280,60,0.003926701570680628,0,0.1014193319,654.8571428571428
red4,1,screen,2,pfft,2048,32,0.25,5,10,4,4,5,20,4,2921,0,0.0,58420,617,0.010561451557685723,0,0.1418420523,0.0
red4,1,screen,2,pfft,2048,32,0.25,3,3,10,4,5,20,4,1797,14,0.7,35940,6,0.0001669449081803005,0,0.11623337854999997,972.6030927835052
red4,1,screen,2,pfft,2048,128,0.5,8,8,3,0,5,20,2,3106,0,0.0,62120,3386,0.05450740502253702,0,0.07643017384999999,0.0
red4,1,screen,2,pfft,2048,32,0.25,10,10,10,4,5,20,4,3296,5,0.25,65920,27,0.0004095873786407767,0,0.16633198215,637.1134020618557
red4,1,screen,1,pfft,512,64,0.5,5,10,10,0,5,20,9,3288,0,0.0,65760,14385,0.21875,0,0.08957755005,0.0
red4,1,screen,2,pfft,2048,32,0.25,3,5,10,4,5,20,4,2160,14,0.7,43200,8,0.00018518518518518518,0,0.13383555405,1169.0721649484535
red4,1,screen,3,pfft,2048,0,0.5,5,8,10,1,5,20,1,1412,5,0.25,28240,2860,0.10127478753541076,0,0.053471546,551.5625
red4,1,screen,1,pfft,2048,16,0.25,8,3,10,0,5,20,2,1173,11,0.55,23460,13,0.0005541346973572037,0,0.11547049185,753.0933852140078
red4,1,screen,1,pfft,2048,0,0.25,5,8,10,4,5,20,4,2840,13,0.65,56800,13,0.00022887323943661972,0,0.12970158345,1442.1875
red4,1,screen,2,pfft,2048,64,0.25,3,8,10,4,5,20,4,2364,13,0.65,47280,10,0.00021150592216582064,0,0.11127671155,1175.9693877551022
red4,1,screen,3,pfft,1024,64,0.5,5,8,8,0,5,20,5,3554,2,0.1,71080,8004,0.11260551491277433,0,0.08723013045,357.7852348993288
red4,1,screen,3,pfft,2048,128,0.125,3,3,8,1,5,20,1,210,12,0.6,4200,20,0.004761904761904762,0,0.0650065027,192.85714285714286
red4,1,screen,3,pfft,2048,0,0.5,5,8,8,2,5,20,2,2840,7,0.35,56800,3987,0.07019366197183098,0,0.09806785305,1164.84375
red4,1,screen,1,pfft,2048,16,0.25,8,5,10,0,5,20,2,1411,12,0.6,28220,13,0.00046066619418851876,0,0.12897902619999999,988.2490272373541
red4,1,screen,3,pfft,2048,16,0.25,5,8,8,0,5,20,2,1412,10,0.5,28240,17,0.0006019830028328612,0,0.0731935093,824.124513618677
red4,1,screen,2,pfft,2048,32,0.5,3,8,10,4,5,20,4,4744,3,0.15,94880,12881,0.13576096121416525,0,0.1447417381,550.2061855670103
red4,1,screen,2,pfft,2048,64,0.25,3,4,3,0,5,20,2,1004,0,0.0,20080,652,0.03247011952191235,0,0.061776227350000004,0.0
red4,1,screen,2,pfft,1024,32,0.25,3,8,10,4,5,20,4,1174,14,0.7,23480,6,0.0002555366269165247,0,0.08076019745,948.2307692307693
red4,1,screen,1,pfft,512,64,0.25,8,8,10,2,5,20,2,369,0,0.0,7380,2413,0.3269647696476965,0,0.0471450281,0.0
red4,1,screen,1,pfft,2048,0,0.25,3,3,10,2,5,20,2,890,14,0.7,17800,8,0.00044943820224719103,0,0.13826988639999999,730.078125
red4,1,screen,1,pfft,2048,16,0.25,4,3,10,0,5,20,2,1002,13,0.65,20040,33,0.0016467065868263472,0,0.1137453722,760.272373540856
red4,1,screen,3,pfft,512,0,0.5,5,8,8,0,5,20,10,3554,0,0.0,71080,15466,0.21758581879572314,0,0.0878566361,0.0
red4,1,screen,2,pfft,2048,32,0.25,5,10,2,4,5,20,4,2921,0,0.0,58420,2293,0.039250256761383086,0,0.1256019802,0.0
red4,1,screen,1,pfft,2048,0,0.25,10,10,10,2,5,20,2,1640,14,0.7,32800,10,0.0003048780487804878,0,0.06756686849999999,1345.3125
red4,1,screen,1,pfft,2048,0,0.25,3,5,10,2,5,20,2,1072,14,0.7,21440,9,0.00041977611940298507,0,0.08501930435,879.375
red4,1,screen,2,pfft,2048,64,0.125,8,8,3,0,5,20,2,764,0,0.0,15280,1122,0.07342931937172775,0,0.12119835565,0.0
red4,1,screen,1,pfft,1024,16,0.5,5,10,10,0,5,20,5,3656,2,0.1,73120,10601,0.1449808533916849,0,0.1148276372,377.55593803786576
red4,1,screen,1,pfft,2048,16,0.25,4,5,10,0,5,20,2,1206,13,0.65,24120,29,0.0012023217247097845,0,0.13280811664999997,915.0583657587549
red4,1,screen,3,pfft,2048,0,0.5,3,4,8,1,5,20,1,1004,10,0.5,20080,1505,0.07495019920318725,0,0.03944274685000001,784.375
red4,1,screen,3,pfft,2048,16,0.5,3,3,8,0,5,20,2,1797,8,0.4,35940,3184,0.0885920979410128,0,0.04848951605,839.0661478599222
red4,1,screen,2,pfft,2048,32,0.25,5,10,10,1,5,20,1,718,15,0.75,14360,10,0.0006963788300835655,0,0.0571023059,837.0466321243523
red4,1,screen,1,pfft,2048,16,0.25,3,8,10,0,5,20,2,1174,11,0.55,23480,15,0.0006388415672913117,0,0.0875418302,753.7354085603113
red4,1,screen,1,pfft,2048,16,0.25,5,3,10,0,5,20,2,1072,18,0.9,21440,2,9.328358208955224e-5,0,0.10587468005,1126.2256809338521
red4,1,screen,2,pfft,512,128,0.5,8,8,3,0,5,20,8,3064,0,0.0,61280,18596,0.30345953002610965,0,0.08551836339999999,0.0
red4,1,screen,3,pfft,2048,16,0.5,10,10,8,0,5,20,2,3296,2,0.1,65920,8002,0.12138956310679612,0,0.06428243595,384.74708171206225
red4,1,screen,3,pfft,2048,16,0.5,3,5,8,0,5,20,2,2160,9,0.45,43200,3808,0.08814814814814814,0,0.08790373215,1134.6303501945526
red4,1,screen,2,pfft,2048,64,0.25,8,3,3,0,5,20,2,1173,0,0.0,23460,929,0.03959931798806479,0,0.05180761615,0.0
red4,1,screen,3,pfft,2048,16,0.5,5,8,8,4,5,20,4,5696,4,0.2,113920,8809,0.07732619382022472,0,0.11635227560000001,885.3886010362694
red4,1,screen,3,pfft,2048,128,0.5,5,8,8,0,5,20,2,2840,4,0.2,56800,4601,0.08100352112676057,0,0.07831557624999999,645.4545454545454
red4,1,screen,2,pfft,512,64,0.25,3,8,10,4,5,20,4,572,11,0.55,11440,15,0.0013111888111888112,0,0.03231626629999999,471.9
red4,1,screen,1,pfft,2048,16,0.25,5,5,10,0,5,20,2,1289,15,0.75,25780,6,0.00023273855702094648,0,0.13899898315,1128.5019455252918
red4,1,screen,2,pfft,2048,32,0.25,3,4,10,4,5,20,4,2024,13,0.65,40480,12,0.0002964426877470356,0,0.10895952435,1017.2164948453608
red4,1,screen,1,pfft,1024,16,0.25,8,8,10,2,5,20,2,761,3,0.15,15220,136,0.008935611038107753,0,0.0356246585,177.43523316062175
red4,1,screen,3,pfft,2048,0,0.0625,3,3,8,1,5,20,1,97,16,0.8,1940,7,0.0036082474226804126,0,0.046862800999999996,121.25
red4,1,screen,2,pfft,2048,64,0.25,8,5,3,0,5,20,2,1411,0,0.0,28220,1075,0.03809355067328136,0,0.06166567845,0.0
red4,1,screen,3,pfft,512,128,0.125,3,3,8,1,5,20,1,40,16,0.8,800,4,0.005,0,0.0240624249,64.86486486486486
red4,1,screen,2,pfft,2048,64,0.25,3,8,6,0,5,20,2,1174,7,0.35,23480,150,0.006388415672913117,0,0.04962692740000001,474.11538461538464
red4,1,screen,3,pfft,2048,0,0.5,5,8,4,1,5,20,1,1412,0,0.0,28240,1000,0.03541076487252125,0,0.04071447400000001,0.0
red4,1,screen,1,pfft,2048,16,0.25,8,4,10,0,5,20,2,1322,14,0.7,26440,12,0.000453857791225416,0,0.1247866076,1080.2334630350194
red4,1,screen,3,pfft,2048,16,0.5,5,8,10,0,5,20,2,2840,6,0.3,56800,5214,0.09179577464788732,0,0.08101244864999999,994.5525291828794
red4,1,screen,2,pfft,2048,64,0.5,8,8,3,0,5,20,2,3106,0,0.0,62120,3281,0.052817128139085644,0,0.08370425584999999,0.0
red4,1,screen,3,pfft,2048,0,0.5,8,3,8,1,5,20,1,1173,3,0.15,23460,2918,0.12438192668371696,0,0.052199173450000004,274.921875
red4,1,screen,2,pfft,2048,64,0.25,4,3,3,0,5,20,2,1002,0,0.0,20040,931,0.04645708582834331,0,0.060367151949999996,0.0
