channel,lane,snr_db,algorithm_id,seed,frames,objective,nfft,cp,code_rate,outer_spacing,inner_spacing,check_degree,horizon,partial_fft_parts,partial_fft_bands,payload_bits_per_frame,successful_frames,psr,payload_bits,bit_errors,ber,decode_failures,decode_seconds,effective_rate_bps
red2,2,0.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,36396,0.40066050198150593,0,0.2907392116666667,0.0
red2,2,0.0,lite,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,36369,0.40036327608982825,0,0.10512102999999999,0.0
red2,2,0.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,36343,0.40007705856450904,0,0.07694030499999999,0.0
red2,2,0.0,pfft,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,36416,0.4008806693086746,0,0.08817511500000003,0.0
red2,2,0.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,36391,0.40060546014971377,0,0.3648514133333334,0.0
red2,2,2.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,32730,0.36030383091149276,0,0.3111802233333333,0.0
red2,2,2.0,lite,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,32892,0.3620871862615588,0,0.10976673333333334,0.0
red2,2,2.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,32816,0.36125055041831794,0,0.08414495500000002,0.0
red2,2,2.0,pfft,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,32886,0.3620211360634082,0,0.0793610083333333,0.0
red2,2,2.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,32693,0.35989652135623074,0,0.37770104833333346,0.0
red2,2,4.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,28042,0.3086966094231616,0,0.28896357000000006,0.0
red2,2,4.0,lite,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,28383,0.31245046235138707,0,0.10724150500000001,0.0
red2,2,4.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,28203,0.3104689564068692,0,0.08108908,0.0
red2,2,4.0,pfft,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,28369,0.312296345222369,0,0.08136238166666668,0.0
red2,2,4.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,28010,0.30834434169969177,0,0.3831476999999999,0.0
red2,2,6.0,cwz_joint,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,22752,0.25046235138705414,0,0.27591026333333335,0.0
red2,2,6.0,lite,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,23157,0.2549207397622193,0,0.10763395166666666,0.0
red2,2,6.0,ofdm_fec,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,23074,0.2540070453544694,0,0.08471583333333332,0.0
red2,2,6.0,pfft,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,23209,0.25549317481285777,0,0.07923840666666668,0.0
red2,2,6.0,profiled_cz,4,60,configuration,1024,16,0.25,3,10,6,0,1,16,1514,0,0.0,90840,22772,0.2506825187142228,0,0.38017531833333335,0.0
